Airport, CitySt, Date, Time, Weather
KEVV,POSEY INDIANA,2019-12-10,18:21,KEVV 101820Z AUTO 30005KT 10SM CLR M02/M09 A3029 RMK T10201090 MADISHFEVV
KYNG,GREENE OHIO,2019-12-10,13:36,KYNG 101330Z AUTO 26014KT 10SM OVC023 03/M02 A2981 RMK T00301020 MADISHFYNG
KMKT,TRAVERSE MINNESOTA,2019-12-10,15:50,KMKT 101550Z AUTO 32011KT 10SM FEW036 M17/M20 A3022 RMK T11701200 MADISHFMKT
KRFD,WINNEBAGO ILLINOIS,2019-12-10,22:25,KRFD 102230Z AUTO 27009KT 10SM CLR M08/M16 A3026 RMK T10801160 MADISHFRFD
KAOH,MERCER OHIO,2019-12-10,04:16,KAOH 100410Z AUTO 25014KT 9SM OVC016 09/07 A2963 RMK T00900070 MADISHFAOH
KBTL,BEADLE SOUTH DAKOTA,2019-12-10,18:06,KBTL 101800Z AUTO 29011KT 9SM SCT019 BKN027 OVC039 M03/M08 A3004 RMK T10301080 MADISHFBTL
KBWI,CARROLL MARYLAND,2019-12-10,06:52,KBWI 100650Z AUTO 23009G17KT 10SM SCT011 12/09 A2979 RMK T01200090 MADISHFBWI
KTXK,GARLAND ARKANSAS,2019-12-10,18:05,KTXK 101810Z AUTO 04005KT 10SM -RA SCT015 BKN030 OVC038 03/02 A3032 RMK P0000 T00300020 MADISHFTXK
KMTW,MANITOWOC WISCONSIN,2019-12-10,16:52,KMTW 101650Z AUTO 28011KT 10SM CLR M09/M14 A3010 RMK T10901140 MADISHFMTW
KMSL,LAUDERDALE ALABAMA,2019-12-10,09:01,KMSL 100900Z AUTO 32010KT 9SM -RA BKN015 BKN060 OVC100 15/13 A2993 RMK P0000 T01500130 MADISHFMSL
KSBM,SHEBOYGAN WISCONSIN,2019-12-10,21:15,KSBM 102120Z AUTO 27011KT 10SM CLR M09/M15 A3012 RMK T10901150 MADISHFSBM
KCGI,JACKSON MISSOURI,2019-12-10,10:17,KCGI 101010Z AUTO 34015G20KT 10SM CLR M01/M08 A3014 RMK T10101080 MADISHFCGI
KBKL,HENRY OHIO,2019-12-10,11:07,KBKL 101100Z AUTO ///22KT 10SM FEW016 FEW023 OVC030 04/M01 A2978 RMK T00401010 MADISHFBKL
KLUK,MONTGOMERY OHIO,2019-12-10,02:06,KLUK 100200Z AUTO 22010KT 10SM FEW021 SCT026 OVC046 15/13 A2967 RMK T01500130 MADISHFLUK
KMFD,SHELBY OHIO,2019-12-10,07:06,KMFD 100700Z AUTO 25010KT 10SM SCT016 BKN024 OVC039 09/07 A2967 RMK T00900070 MADISHFMFD
KIND,LAWRENCE INDIANA,2019-12-10,15:32,KIND 101530Z AUTO 27009KT 10SM SCT023 M06/M10 A3017 RMK T10601100 MADISHFIND
KSUX,DIXON NEBRASKA,2019-12-10,17:37,KSUX 101730Z AUTO 33013KT 10SM CLR M09/M14 A3035 RMK T10901140 MADISHFSUX
KUGN,MCHENRY ILLINOIS,2019-12-10,10:02,KUGN 101000Z AUTO 29007KT 10SM OVC024 M06/M10 A2989 RMK T10601100 MADISHFUGN
KCID,LOUISA IOWA,2019-12-10,05:10,KCID 100510Z AUTO 30014G19KT 10SM CLR M13/M17 A2998 RMK T11301170 MADISHFCID
KY50,MARQUETTE WISCONSIN,2019-12-10,14:27,KY50 101420Z AUTO 31007KT 9SM -SN OVC018 M13/M16 A3007 RMK T11301160 MADISHFY50
KCMX,BARAGA MICHIGAN,2019-12-10,21:45,KCMX 102150Z AUTO 28011KT 1/2SM SN VV014 M13/M17 A2997 RMK T11301170 MADISHFCMX
KHZY,MADISON OHIO,2019-12-10,17:32,KHZY 101730Z AUTO 25014KT 10SM OVC023 01/M03 A2994 RMK T00101030 MADISHFHZY
KMIW,UNION IOWA,2019-12-10,10:11,KMIW 101010Z AUTO 31005KT 10SM OVC070 M12/M16 A3010 RMK T11201160 MADISHFMIW
KADG,FAYETTE OHIO,2019-12-10,07:05,KADG 100710Z AUTO 28016KT 10SM OVC018 01/M02 A2970 RMK T00101020 MADISHFADG
KMLU,CLAIBORNE LOUISIANA,2019-12-10,16:51,KMLU 101650Z AUTO ///14KT 4SM RA BR OVC009 06/04 A3028 RMK P0012 T00600040 CIG 7V13  MADISHFMLU
KMPV,ORANGE VERMONT,2019-12-10,03:46,KMPV 100340Z AUTO 18005KT 10SM BKN026 OVC030 07/06 A2956 RMK P0000 T00700060 MADISHFMPV
KMLC,KIOWA OKLAHOMA,2019-12-10,22:17,KMLC 102210Z AUTO 36004KT 10SM FEW120 06/M07 A3038 RMK T00601070 MADISHFMLC
KLWD,WORTH MISSOURI,2019-12-10,20:06,KLWD 102000Z AUTO 33011G18KT 10SM OVC030 M05/M12 A3029 RMK T10501120 MADISHFLWD
KMPV,ORANGE VERMONT,2019-12-10,04:57,KMPV 100450Z AUTO 19007KT 10SM BKN028 OVC032 09/07 RMK T00900070 MADISHFMPV
KLBF,LOGAN NEBRASKA,2019-12-10,05:16,KLBF 100510Z AUTO 33004KT 10SM BKN110 M05/M08 RMK T10501080 MADISHFLBF
KY50,MARQUETTE WISCONSIN,2019-12-10,12:47,KY50 101240Z AUTO 28011KT 7SM -SN OVC018 M13/M15 A3003 RMK T11301150 MADISHFY50
KY50,MARQUETTE WISCONSIN,2019-12-10,17:51,KY50 101750Z AUTO 27011KT 10SM FEW023 M11/M16 A3013 RMK T11101160 MADISHFY50
KHZY,MADISON OHIO,2019-12-10,23:16,KHZY 102310Z AUTO 25010KT 9SM -SN FEW045 OVC060 M02/M05 A3012 RMK T10201050 MADISHFHZY
KAOO,HUNTINGDON PENNSYLVANIA,2019-12-10,12:21,KAOO 101220Z AUTO 25007KT 10SM -RA FEW025 OVC065 12/08 A2977 RMK P0001 T01200080 MADISHFAOO
KSBM,SHEBOYGAN WISCONSIN,2019-12-10,17:06,KSBM 101700Z AUTO 27013KT 10SM OVC019 M10/M14 A3010 RMK T11001140 MADISHFSBM
KTXK,BRADLEY ARKANSAS,2019-12-10,07:15,KTXK 100720Z AUTO 35008KT 10SM OVC079 08/03 A3004 RMK T00800030 MADISHFTXK
KZZV,LICKING OHIO,2019-12-10,05:15,KZZV 100520Z AUTO 26013KT 9SM -RA FEW011 BKN021 OVC027 13/10 A2967 RMK P0001 T01300100 MADISHFZZV
