Airport, CitySt, Weather, Time
KCSM,CUSTER OKLAHOMA,KCSM 131200Z AUTO 20022KT 10SM CLR 11/09 A2938 RMK T01100090 MADISHFCSM,12:00
KIML,CHASE NEBRASKA,KIML 261500Z AUTO 22004KT 10SM CLR 06/M04 A2975 RMK T00601040 MADISHFIML,15:00
KAQO,LLANO TEXAS,KAQO 231550Z AUTO 03009G14KT 10SM FEW041 SCT048 29/17 A3019 RMK AO2AQO,15:45
KVCT,GOLIAD TEXAS,KVCT 251400Z AUTO 20004KT 8SM FEW009 SCT015 OVC023 29/26 A2987 RMK T02900260 MADISHFVCT,14:00
KSPS,EDWARDS TEXAS,KSPS 081450Z AUTO 20014KT 10SM 32/22 A2989 RMK T03200220 MADISHFSPS,14:51
KCSM,CUSTER OKLAHOMA,KCSM 261400Z AUTO 20011KT 10SM CLR 06/02 A2945 RMK T00600020 MADISHFCSM,14:00
KCSM,CUSTER OKLAHOMA,KCSM 261850Z AUTO 26022KT 5SM HZ CLR 17/M02 A2946 RMK T01701020 MADISHFCSM,18:45
KRSL,CHEYENNE KANSAS,KRSL 091130Z AUTO 23007KT 10SM CLR M01/M04 A3006 RMK T10101040 MADISHFRSL,11:30
KOMA,GARDEN NEBRASKA,KOMA 011400Z AUTO 15005KT 10SM OVC100 01/M04 A3015 RMK T00101040 MADISHFOMA,14:00
KMLC,KIOWA OKLAHOMA,KMLC 161430Z AUTO 19007KT 10SM CLR 29/21 A2997 RMK T02900210 WND 16V23  MADISHFMLC,14:30
KLBL,BEAVER OKLAHOMA,KLBL 021230Z AUTO 23005KT 1/4SM -RA FG OVC003 02/02 A2994 RMK T00200020 MADISHFLBL,12:30
KDHT,HARTLEY TEXAS,KDHT 161710Z AUTO 19014KT 10SM CLR 04/M04 RMK T00401040 MADISHFDHT,17:17
KHZY,MADISON OHIO,KHZY 121000Z AUTO 00000KT 10SM OVC100 M08/M11 A3042 RMK T10801110 MADISHFHZY,10:00
KYNG,GREENE OHIO,KYNG 121000Z AUTO 09005KT 10SM FEW100 M08/M11 A3037 RMK T10801110 MADISHFYNG,10:00
KADG,FAYETTE OHIO,KADG 121000Z AUTO 07004KT 10SM CLR M05/M08 A3037 RMK T10501080 MADISHFADG,10:00
KSBM,SHEBOYGAN WISCONSIN,KSBM 120100Z AUTO 08011G16KT 10SM OVC019 M02/M06 A3013 RMK T10201060 MADISHFSBM,01:00
KMKE,MILWAUKEE WISCONSIN,KMKE 272300Z AUTO 21007KT 10SM CLR M15/M23 A3003 RMK T11501230 MADISHFMKE,23:00
KENW,KENOSHA WISCONSIN,KENW 272200Z AUTO 29005KT 10SM CLR M15/M23 A3006 RMK T11501230 MADISHFENW,22:00
KRAC,RACINE WISCONSIN,KRAC 272300Z AUTO 23003KT 10SM CLR M16/M24 A3006 RMK T11601240 MADISHFRAC,23:00
KY50,MARQUETTE WISCONSIN,KY50 112200Z AUTO 07008KT 10SM OVC016 M03/M06 A3013 RMK T10301060 MADISHFY50,22:00
KMKE,MILWAUKEE WISCONSIN,KMKE 111800Z AUTO 09011KT 7SM OVC012 M01/M05 A3017 RMK T10101050 MADISHFMKE,18:00
KRAC,RACINE WISCONSIN,KRAC 111800Z AUTO 09013KT 9SM OVC011 M02/M05 A3017 RMK T10201050 MADISHFRAC,18:00
KRAC,RACINE WISCONSIN,KRAC 181600Z AUTO 35005KT 10SM CLR M04/M11 A3020 RMK T10401110 MADISHFRAC,16:00
KENW,KENOSHA WISCONSIN,KENW 181600Z AUTO 02005KT 10SM CLR M03/M08 A3018 RMK T10301080 MADISHFENW,16:00
KMKE,MILWAUKEE WISCONSIN,KMKE 181600Z AUTO 33004KT 10SM SCT075 M04/M12 A3020 RMK T10401120 MADISHFMKE,16:00
KY50,MARQUETTE WISCONSIN,KY50 272300Z AUTO 18004KT 10SM CLR M16/M26 A3001 RMK T11601260 MADISHFY50,23:00
KMKE,MILWAUKEE WISCONSIN,KMKE 221100Z AUTO 17014KT 10SM CLR M06/M12 A3019 RMK T10601120 MADISHFMKE,11:00
KLBF,KEITH NEBRASKA,KLBF 131200Z AUTO 12008KT 1SM BR VV004 08/08 A2928 RMK T00800080 MADISHFLBF,12:00
KLBF,LOGAN NEBRASKA,KLBF 131200Z AUTO 12008KT 1SM BR VV004 08/08 A2928 RMK T00800080 MADISHFLBF,12:00
KOMA,GARDEN NEBRASKA,KOMA 101800Z AUTO 08016G26KT 10SM BKN055 17/06 A2951 RMK T01700060 MADISHFOMA,18:00
KLNK,LINCOLN NEBRASKA,KLNK 101800Z AUTO 08016KT 10SM CLR 18/07 A2943 RMK T01800070 MADISHFLNK,18:00
KIML,CHASE NEBRASKA,KIML 101800Z AUTO 01022G27KT 7SM OVC008 03/01 RMK T00300010 CIG 5V13  MADISHFIML,18:00
KAOH,MERCER OHIO,KAOH 192100Z AUTO 04022KT 1/4SM SN FZFG OVC008 M02/M04 A2971 RMK T10201040 MADISHFAOH,21:00
KYNG,GREENE OHIO,KYNG 192100Z AUTO 05010KT 1/2SM SN FZFG SCT007 BKN012 OVC019 M01/M02 A2977 RMK T10101020 MADISHFYNG,21:00
KZZV,LICKING OHIO,KZZV 192100Z AUTO 05007KT 1 1/2SM -RA BR OVC006 02/01 A2962 RMK P0000 T00200010 CIG 3V9  MADISHFZZV,21:00
KHZY,MADISON OHIO,KHZY 192100Z AUTO 04008KT 1 1/2SM -SN BR SCT008 BKN018 OVC027 M03/M04 A2985 RMK T10301040 MADISHFHZY,21:00
KCVG,KENTON KENTUCKY,KCVG 192100Z AUTO 02014KT 4SM -RA BR OVC004 02/02 A2953 RMK P0000 T00200020 MADISHFCVG,21:00
KYNG,WARREN OHIO,KYNG 121000Z AUTO 09005KT 10SM FEW100 M08/M11 A3037 RMK T10801110 MADISHFYNG,10:00
KILN,HIGHLAND OHIO,KILN 121000Z AUTO 10006KT 1SM -SN BR VV015 M03/M05 A3029 RMK T10301050 MADISHFILN,10:00
KEYE,FAYETTE INDIANA,KEYE 192100Z AUTO 03016G26KT 3SM -SN BKN015 OVC027 M02/M05 A2965 RMK T10201050 MADISHFEYE,21:00
KLUK,MONTGOMERY OHIO,KLUK 192100Z AUTO 02012KT 2SM -RA BR OVC007 03/02 A2956 RMK T00300020 MADISHFLUK,21:00
KHAO,ROSS OHIO,KHAO 121000Z AUTO 10003KT 1 1/2SM -SN BR FEW007 OVC018 M02/M03 A3031 RMK T10201030 MADISHFHAO,10:00
KMFD,BUTLER OHIO,KMFD 121000Z AUTO 13004KT 8SM CLR M06/M08 A3034 RMK T10601080 MADISHFMFD,10:00
KILN,HIGHLAND OHIO,KILN 192100Z AUTO 04014KT 2SM RA BR OVC003 01/00 A2955 RMK T00100000 MADISHFILN,21:00
KADG,FAYETTE OHIO,KADG 192100Z AUTO 05017KT 1SM -SN BR VV016 M07/M09 A2989 RMK T10701090 MADISHFADG,21:00
KMFD,BUTLER OHIO,KMFD 192100Z AUTO ///15KT 1/2SM SN FZFG OVC007 M03/M04 A2970 RMK P0000 T10301040 MADISHFMFD,21:00
KYNG,WARREN OHIO,KYNG 192100Z AUTO 05010KT 1/2SM SN FZFG SCT007 BKN012 OVC019 M01/M02 A2977 RMK T10101020 MADISHFYNG,21:00
KHSI,BLAINE NEBRASKA,KHSI 101800Z AUTO 06020G26KT 10SM CLR 14/06 A2940 RMK T01400060 MADISHFHSI,18:00
KODX,LOUP NEBRASKA,KODX 101800Z AUTO 03015KT 2SM -RA BR OVC003 03/02 A2954 RMK T00300020 MADISHFODX,18:00
KIRK,CLAY MISSOURI,KIRK 111400Z AUTO 14009KT 10SM OVC065 M01/M04 A3020 RMK T10101040 MADISHFIRK,14:00
KSTJ,NODAWAY MISSOURI,KSTJ 111500Z AUTO 15003KT 10SM OVC048 03/M02 A3014 RMK T00301020 MADISHFSTJ,15:00
KMBS,ARENAC MICHIGAN,KMBS 280500Z AUTO 09004KT 10SM CLR M18/M23 A3010 RMK T11801230 MADISHFMBS,05:00
KMBL,MANISTEE MICHIGAN,KMBL 280200Z AUTO 08005KT 9SM -SN OVC030 M16/M18 A3005 RMK T11601180 MADISHFMBL,02:00
KTVC,WEXFORD MICHIGAN,KTVC 280200Z AUTO 00000KT 10SM OVC031 M17/M19 RMK T11701190 MADISHFTVC,02:00
KDDC,FORD KANSAS,KDDC 112000Z AUTO 01012KT 2SM -RA BR OVC003 02/01 A2986 RMK P0000 T00200010 MADISHFDDC,20:00
KHTL,OGEMAW MICHIGAN,KHTL 280500Z AUTO 09003KT 10SM CLR M26/M28 A3002 RMK T12601280 MADISHFHTL,05:00
KMPV,ORANGE VERMONT,KMPV 191800Z AUTO 05003KT 10SM OVC065 M14/M19 A3026 RMK T11401190 MADISHFMPV,18:00
KMPV,WASHINGTON VERMONT,KMPV 191800Z AUTO 05003KT 10SM OVC065 M14/M19 A3026 RMK T11401190 MADISHFMPV,18:00
KVSF,WINDSOR VERMONT,KVSF 191800Z AUTO 06007KT 10SM OVC085 M07/M12 A3023 RMK T10701120 MADISHFVSF,18:00
KHYS,NESS KANSAS,KHYS 112000Z AUTO 03009KT 5SM -SN BR OVC004 01/01 RMK T00100010 MADISHFHYS,20:00
KMPV,ORANGE VERMONT,KMPV 291700Z AUTO ///19KT 2 1/2SM -SN BKN039 OVC050 M09/M12 RMK T10901120 MADISHFMPV,17:00
KVSF,WINDSOR VERMONT,KVSF 291700Z AUTO 00000KT 4SM -SN OVC025 M09/M12 A3001 RMK T10901120 MADISHFVSF,17:00
KHTL,GLADWIN MICHIGAN,KHTL 280500Z AUTO 09003KT 10SM CLR M26/M28 A3002 RMK T12601280 MADISHFHTL,05:00
KHTL,ROSCOMMON MICHIGAN,KHTL 280200Z AUTO 00000KT 10SM FEW030 M23/M25 A3002 RMK T12301250 MADISHFHTL,02:00
KSTJ,ATCHISON KANSAS,KSTJ 111500Z AUTO 15003KT 10SM OVC048 03/M02 A3014 RMK T00301020 MADISHFSTJ,15:00
KMCI,LEAVENWORTH KANSAS,KMCI 111400Z AUTO 13008KT 10SM OVC050 03/M02 A3012 RMK T00301020 MADISHFMCI,14:00
KSTJ,DONIPHAN KANSAS,KSTJ 111500Z AUTO 15003KT 10SM OVC048 03/M02 A3014 RMK T00301020 MADISHFSTJ,15:00
KLBL,MEADE KANSAS,KLBL 112000Z AUTO 34012KT 5SM -RA BR OVC004 02/02 A2986 RMK T00200020 CIG 4V8  MADISHFLBL,20:00
