BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201907,4,1415,201907,4,1415,137599,826784,FLORIDA,12,2019,July,Waterspout,Z,125,COASTAL DUVAL,JAX,7/4/2019 14:15,EST-5,7/4/2019 14:15,0,0,0,0,0.00K,0.00K,911 Call Center,,,,,,,,,,,,,,,,,,,,,,,,
201908,15,1430,201908,16,2100,141306,848669,IDAHO,16,2019,August,Waterspout,Z,59,FRANKLIN-EASTERN ONEIDA REGION,PIH,8/15/2019 14:30,MST-7,8/16/2019 21:00,0,0,0,0,0.00K,0.00K,Park/Forest Service,,,,,,,,,,,,,,,,,,,,,,,,
201908,17,1200,201908,18,1200,144266,865911,IDAHO,16,2019,August,Waterspout,Z,54,LOWER SNAKE RIVER PLAIN,PIH,8/17/2019 12:00,MST-7,8/18/2019 12:00,0,0,0,0,0.00K,0.00K,Newspaper,,,,,,,,,,,,,,,,,,,,,,,,
201908,1,1,201908,31,2300,141294,848629,IDAHO,16,2019,August,Waterspout,Z,63,CARIBOU RANGE,PIH,8/1/2019 0:01,MST-7,8/31/2019 23:00,0,0,0,0,0.00K,0.00K,Park/Forest Service,,,,,,,,,,,,,,,,,,,,,,,,
201908,1,1630,201908,5,1900,141299,848644,IDAHO,16,2019,August,Waterspout,Z,51,SHOSHONE-LAVA BEDS,PIH,8/1/2019 16:30,MST-7,8/5/2019 19:00,0,0,0,0,0.00K,0.00K,Park/Forest Service,,,,,,,,,,,,,,,,,,,,,,,,
201901,7,1558,201901,7,1812,134828,808177,TEXAS,48,2019,January,Waterspout,Z,11,OLDHAM,AMA,1/7/2019 15:58,CST-6,1/7/2019 18:12,0,0,0,0,0.00K,0.00K,Fire Department/Rescue,,,,,,,,,,,,,,,,,,,,,,,,
201901,27,1045,201901,27,2000,134829,808178,TEXAS,48,2019,January,Waterspout,Z,19,DONLEY,AMA,1/27/2019 10:45,CST-6,1/27/2019 20:00,0,0,0,0,0.00K,0.00K,Fire Department/Rescue,,,,,,,,,,,,,,,,,,,,,,,,
201901,6,1845,201901,8,1600,133099,796228,HAWAII,15,2019,January,Waterspout,Z,21,LEEWARD HALEAKALA,HFO,1/6/2019 18:45,HST-10,1/8/2019 16:00,0,0,0,0,0.00K,0.00K,Broadcast Media,,,,,,Maybe sort by Great Lakes(They all start with Lake in Column in M so do it that way),,,,,,,,,,,,,,,,,,
201901,1,1646,201901,1,1800,134329,804735,FLORIDA,12,2019,January,Waterspout,Z,63,GLADES,MFL,1/1/2019 16:46,EST-5,1/1/2019 18:00,0,0,0,0,10.00K,,Emergency Manager,,,,,,,,,,,,,,,,,,,,,,,,
201903,7,1730,201903,8,2300,133687,800025,NEW MEXICO,35,2019,March,Waterspout,Z,519,ALBUQUERQUE METRO AREA,ABQ,3/7/2019 17:30,MST-7,3/8/2019 23:00,2,0,0,0,500.00K,0.00K,Broadcast Media,,,,,,,,,,,,,,,,,,,,,,,,
